Customer Name,Order Priority,Product Category,Product Sub-Category,Region,Ship Mode,COGS
Claire Good,High,Office Supplies,Rubber Bands,West,Regular Air,2.58
Claire Good,High,Technology,Telephones and Communication,West,Regular Air,8.99
Sung Chung,Not Specified,Office Supplies,Binders and Binder Accessories,West,Regular Air,1.49
Sung Chung,Not Specified,Office Supplies,Binders and Binder Accessories,West,Regular Air,19.99
Sung Chung,Not Specified,Office Supplies,Rubber Bands,West,Express Air,0.7
Peter McVee,Critical,Office Supplies,Storage & Organization,East,Regular Air,35
Fred McMath,High,Furniture,Bookcases,East,Delivery Truck,60.2
Fred McMath,High,Office Supplies,Labels,East,Regular Air,0.49
Fred McMath,High,Office Supplies,Envelopes,East,Regular Air,8.29
Ruben Dartt,High,Technology,Telephones and Communication,West,Regular Air,8.99
Victoria Pisteka,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.63
Victoria Pisteka,High,Office Supplies,Envelopes,West,Regular Air,1.39
Scot Coram,Not Specified,Office Supplies,Envelopes,Central,Regular Air,6.71
Sandra Glassco,Medium,Office Supplies,Pens & Art Supplies,Central,Regular Air,5
Eugene Moren,Medium,Office Supplies,Paper,West,Regular Air,5.97
Ionia McGrath,Low,Office Supplies,Appliances,South,Delivery Truck,60
Ionia McGrath,Low,Furniture,Tables,South,Delivery Truck,64.59
Cynthia Delaney,High,Office Supplies,"Scissors, Rulers and Trimmers",West,Regular Air,3.6
Cynthia Delaney,High,Technology,Telephones and Communication,West,Regular Air,5.99
Charles Crestani,Low,Furniture,Bookcases,West,Delivery Truck,35.02
Cynthia Arntzen,Not Specified,Office Supplies,Paper,South,Regular Air,5.74
Saphhira Shifley,Medium,Office Supplies,Paper,South,Regular Air,1.71
Guy Phonely,Medium,Furniture,Office Furnishings,East,Regular Air,34.2
Guy Phonely,Medium,Office Supplies,Paper,East,Regular Air,7.37
Allen Rosenblatt,High,Office Supplies,Storage & Organization,Central,Regular Air,8.64
Lisa Hazard,Critical,Furniture,Office Furnishings,West,Regular Air,5.72
Christine Abelman,Medium,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.6
Christine Abelman,Medium,Office Supplies,Labels,West,Regular Air,0.5
Christine Abelman,Medium,Office Supplies,Paper,West,Regular Air,4.7
Janet Molinari,Critical,Technology,Computer Peripherals,East,Regular Air,3.85
Evan Henry,Medium,Technology,Telephones and Communication,West,Regular Air,7.69
Barry Weirich,Medium,Office Supplies,Binders and Binder Accessories,Central,Regular Air,2.99
Eric Barreto,Low,Technology,Computer Peripherals,East,Regular Air,19.99
Eric Barreto,Low,Office Supplies,Binders and Binder Accessories,East,Regular Air,1.49
Kalyca Meade,Not Specified,Office Supplies,Envelopes,East,Regular Air,4.8
Robert Barroso,High,Office Supplies,Paper,West,Regular Air,2
Robert Barroso,High,Office Supplies,Pens & Art Supplies,West,Regular Air,4.28
Robert Barroso,High,Office Supplies,Storage & Organization,East,Regular Air,11.37
Robert Barroso,High,Office Supplies,Binders and Binder Accessories,East,Regular Air,4.95
Jay Kimmel,Critical,Furniture,Tables,East,Delivery Truck,29.21
Harold Engle,Low,Technology,Telephones and Communication,Central,Express Air,5.99
Harold Engle,Low,Office Supplies,Labels,Central,Regular Air,0.5
Harold Engle,Low,Office Supplies,Storage & Organization,Central,Regular Air,19.99
Tanja Norvell,High,Office Supplies,Binders and Binder Accessories,South,Express Air,6.19
Berenike Kampe,High,Office Supplies,Pens & Art Supplies,East,Regular Air,3.97
Tony Chapman,Medium,Technology,Computer Peripherals,Central,Regular Air,4
Natalie Fritzler,Low,Technology,Office Machines,Central,Delivery Truck,14
Liz Price,Low,Technology,Telephones and Communication,Central,Regular Air,5.99
Liz Price,Low,Technology,Telephones and Communication,Central,Express Air,5.92
Maya Herman,High,Office Supplies,Labels,South,Regular Air,0.49
Maya Herman,High,Technology,Office Machines,South,Delivery Truck,14
Hilary Holden,Low,Furniture,Office Furnishings,Central,Regular Air,13.99
Hilary Holden,Low,Office Supplies,"Scissors, Rulers and Trimmers",Central,Regular Air,5
Hilary Holden,Low,Technology,Copiers and Fax,Central,Regular Air,24.49
Hilary Holden,Low,Technology,Telephones and Communication,Central,Regular Air,8.99
Sarah Bern,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,1.49
Matt Connell,Critical,Office Supplies,Binders and Binder Accessories,East,Regular Air,19.99
Nathan Gelder,High,Office Supplies,Paper,Central,Regular Air,10.39
Nathan Gelder,High,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.81
Patrick Bzostek,Critical,Office Supplies,Storage & Organization,Central,Regular Air,6.25
Patrick Bzostek,Critical,Technology,Telephones and Communication,Central,Express Air,8.99
Laurel Beltran,Medium,Technology,Computer Peripherals,South,Regular Air,1.99
Nora Price,Medium,Office Supplies,Pens & Art Supplies,South,Regular Air,1
Nora Price,Medium,Office Supplies,Binders and Binder Accessories,South,Regular Air,5.19
Bill Donatelli,Medium,Office Supplies,Envelopes,Central,Regular Air,19.99
Jason Klamczynski,Low,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.14
Jason Klamczynski,Low,Furniture,Tables,East,Delivery Truck,42.52
Eric Hoffmann,High,Office Supplies,Paper,South,Regular Air,2.87
Eric Hoffmann,High,Technology,Telephones and Communication,South,Regular Air,8.99
Doug Bickford,Low,Furniture,Office Furnishings,Central,Regular Air,24.49
Carl Jackson,High,Office Supplies,Labels,Central,Regular Air,0.5
Darren Budd,Low,Technology,Computer Peripherals,Central,Regular Air,4.07
Darren Budd,Low,Furniture,Office Furnishings,Central,Express Air,7.23
Dennis Bolton,Critical,Office Supplies,Pens & Art Supplies,East,Regular Air,1.22
Brendan Dodson,High,Furniture,Tables,Central,Delivery Truck,43.75
Ben Wallace,Medium,Furniture,Office Furnishings,East,Regular Air,8.99
Justin Knight,Medium,Office Supplies,Storage & Organization,Central,Express Air,19.99
Justin Knight,Medium,Furniture,Bookcases,Central,Delivery Truck,57.38
Justin Knight,Medium,Technology,Telephones and Communication,Central,Regular Air,0.99
Sean Miller,Medium,Technology,Telephones and Communication,Central,Regular Air,0.99
Chuck Sachs,Medium,Technology,Computer Peripherals,East,Regular Air,4
Chuck Sachs,Medium,Technology,Telephones and Communication,East,Regular Air,8.99
Brian DeCherney,Low,Technology,Computer Peripherals,West,Regular Air,1.99
Brian DeCherney,Low,Office Supplies,Storage & Organization,West,Regular Air,7.04
Valerie Mitchum,Not Specified,Technology,Computer Peripherals,East,Regular Air,2.38
Valerie Mitchum,Not Specified,Office Supplies,Pens & Art Supplies,East,Regular Air,8.99
Erica Smith,Medium,Office Supplies,Pens & Art Supplies,West,Express Air,0.98
Olvera Toch,Not Specified,Technology,Computer Peripherals,Central,Regular Air,5.5
Olvera Toch,Not Specified,Office Supplies,Paper,Central,Regular Air,10.39
Olvera Toch,Not Specified,Technology,Telephones and Communication,Central,Regular Air,8.99
Olvera Toch,Not Specified,Office Supplies,Paper,Central,Regular Air,2.04
Aleksandra Gannaway,Medium,Technology,Telephones and Communication,West,Regular Air,8.99
Brad Thomas,Low,Technology,Computer Peripherals,West,Regular Air,4
Fred Chung,Not Specified,Technology,Telephones and Communication,East,Regular Air,5.99
Jenna Caffey,High,Furniture,Chairs & Chairmats,East,Regular Air,24.49
Michael Dominguez,Not Specified,Technology,Telephones and Communication,Central,Regular Air,2.5
Dean Percer,High,Office Supplies,Paper,East,Regular Air,1.77
Nicole Brennan,Low,Office Supplies,Pens & Art Supplies,West,Regular Air,0.94
Tamara Willingham,Critical,Technology,Office Machines,West,Delivery Truck,8.73
Tamara Willingham,Critical,Office Supplies,"Scissors, Rulers and Trimmers",West,Regular Air,7.42
Keith Dawkins,Not Specified,Technology,Office Machines,South,Delivery Truck,69.3
Keith Dawkins,Not Specified,Office Supplies,Pens & Art Supplies,South,Regular Air,8.99
Keith Dawkins,Not Specified,Technology,Telephones and Communication,South,Regular Air,8.59
Mark Cousins,High,Technology,Computer Peripherals,Central,Regular Air,19.99
David Wiener,Medium,Technology,Office Machines,East,Regular Air,19.99
Tamara Willingham,Not Specified,Furniture,Tables,West,Delivery Truck,46.2
Christina Vanderzanden,Low,Office Supplies,Rubber Bands,Central,Express Air,0.7
Jack O'Briant,Low,Office Supplies,Storage & Organization,South,Regular Air,9.47
Alex Grayson,Not Specified,Office Supplies,Paper,East,Regular Air,2
Alex Grayson,Not Specified,Technology,Computer Peripherals,East,Regular Air,6.5
Tom Prescott,Critical,Office Supplies,Paper,West,Regular Air,5.47
Marina Lichtenstein,Low,Office Supplies,Paper,Central,Regular Air,4.75
Marina Lichtenstein,Low,Technology,Telephones and Communication,Central,Regular Air,13.99
Tracy Poddar,Not Specified,Furniture,Tables,East,Delivery Truck,39.25
Mike Gockenbach,Low,Office Supplies,"Scissors, Rulers and Trimmers",South,Regular Air,7.42
Yoseph Carroll,Critical,Office Supplies,Envelopes,West,Regular Air,2.5
Melanie Page,Medium,Office Supplies,Paper,Central,Regular Air,10.75
Melanie Page,Medium,Office Supplies,Pens & Art Supplies,Central,Regular Air,5.81
Cindy Chapman,Medium,Technology,Office Machines,West,Delivery Truck,56.14
Cindy Chapman,Medium,Technology,Computer Peripherals,West,Regular Air,1.99
Ken Dana,Low,Technology,Computer Peripherals,West,Regular Air,4
Ken Dana,Low,Office Supplies,Storage & Organization,West,Express Air,8.79
Tracy Poddar,Medium,Technology,Computer Peripherals,East,Regular Air,8.65
Tracy Poddar,Medium,Office Supplies,Envelopes,East,Regular Air,9.83
Shahid Hopkins,Medium,Office Supplies,Storage & Organization,Central,Regular Air,6.27
Joni Blumstein,High,Furniture,Office Furnishings,Central,Regular Air,5.81
David Wiener,Not Specified,Office Supplies,Binders and Binder Accessories,East,Regular Air,2.99
David Wiener,Not Specified,Office Supplies,Paper,East,Regular Air,1.52
Jesus Ocampo,Not Specified,Office Supplies,Labels,Central,Regular Air,0.5
Jesus Ocampo,Not Specified,Office Supplies,Paper,Central,Regular Air,7.03
Mark Cousins,Low,Technology,Office Machines,Central,Delivery Truck,14
Marc Crier,Not Specified,Furniture,Chairs & Chairmats,South,Delivery Truck,57
Stephanie Phelps,Not Specified,Technology,Telephones and Communication,West,Regular Air,0.99
Christopher Conant,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,4.77
Edward Hooks,Critical,Office Supplies,Binders and Binder Accessories,Central,Regular Air,9.73
Jamie Kunitz,Critical,Office Supplies,Storage & Organization,Central,Regular Air,11.25
Jamie Kunitz,Critical,Furniture,Tables,Central,Delivery Truck,29.21
Stephanie Phelps,Low,Office Supplies,Binders and Binder Accessories,West,Regular Air,7.17
Stephanie Phelps,Low,Furniture,Chairs & Chairmats,West,Delivery Truck,30
Christopher Schild,Low,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.85
Ivan Liston,Not Specified,Office Supplies,Storage & Organization,Central,Regular Air,35
Ivan Liston,Not Specified,Furniture,Tables,Central,Delivery Truck,110.2
Ivan Liston,Not Specified,Furniture,Tables,Central,Delivery Truck,60
Ann Steele,Not Specified,Technology,Office Machines,West,Delivery Truck,14.7
Max Jones,Critical,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.74
Dean Percer,Not Specified,Office Supplies,Storage & Organization,East,Regular Air,11.37
Victoria Pisteka,Not Specified,Office Supplies,Labels,West,Regular Air,0.5
Muhammed Yedwab,Low,Office Supplies,Paper,South,Regular Air,4.39
Carlos Meador,High,Technology,Telephones and Communication,West,Regular Air,8.99
Denny Ordway,Medium,Technology,Telephones and Communication,West,Regular Air,8.08
Toby Swindell,Critical,Office Supplies,Binders and Binder Accessories,South,Regular Air,5.01
Toby Swindell,Critical,Furniture,Office Furnishings,South,Regular Air,3.72
Toby Swindell,Critical,Furniture,Office Furnishings,South,Regular Air,8.99
Toby Swindell,Critical,Office Supplies,Paper,South,Regular Air,5.83
Toby Swindell,Critical,Technology,Telephones and Communication,South,Regular Air,19.99
Michelle Lonsdale,Medium,Technology,Telephones and Communication,Central,Regular Air,8.08
Michelle Lonsdale,Medium,Furniture,Office Furnishings,Central,Regular Air,11.54
Tanja Norvell,Critical,Office Supplies,Paper,South,Regular Air,6.07
Tanja Norvell,Critical,Technology,Telephones and Communication,South,Express Air,0.99
Cindy Stewart,Critical,Office Supplies,Labels,West,Express Air,0.5
Cindy Stewart,Critical,Office Supplies,Paper,West,Regular Air,1.02
Giulietta Weimer,Medium,Furniture,Chairs & Chairmats,Central,Delivery Truck,70.2
Grace Kelly,Not Specified,Furniture,Office Furnishings,Central,Regular Air,3.62
Grace Kelly,Not Specified,Technology,Telephones and Communication,Central,Regular Air,5.99
Darren Budd,Low,Furniture,Chairs & Chairmats,Central,Delivery Truck,68.02
Darren Budd,Low,Furniture,Chairs & Chairmats,Central,Regular Air,8.79
Darren Budd,Low,Furniture,Office Furnishings,Central,Regular Air,6.27
Maxwell Schwartz,Critical,Technology,Telephones and Communication,South,Regular Air,3.99
Tracy Zic,Not Specified,Technology,Office Machines,South,Regular Air,8.51
Tracy Zic,Not Specified,Office Supplies,Storage & Organization,South,Regular Air,19.99
Justin Knight,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,5.27
Justin Knight,Low,Office Supplies,Storage & Organization,Central,Regular Air,7.07
Joni Blumstein,High,Furniture,Tables,Central,Delivery Truck,51.94
Joni Blumstein,High,Technology,Telephones and Communication,Central,Regular Air,5
Brad Norvell,Not Specified,Furniture,Chairs & Chairmats,Central,Delivery Truck,30
Brad Norvell,Not Specified,Technology,Telephones and Communication,Central,Regular Air,4.2
Joni Blumstein,Medium,Office Supplies,Labels,Central,Regular Air,0.5
Kelly Lampkin,Low,Furniture,Chairs & Chairmats,Central,Delivery Truck,30
Kelly Lampkin,Low,Office Supplies,Appliances,Central,Regular Air,49
Kelly Lampkin,Low,Furniture,Office Furnishings,Central,Regular Air,13.99
Kelly Lampkin,Low,Office Supplies,Rubber Bands,Central,Express Air,2
Muhammed Yedwab,High,Furniture,Bookcases,South,Delivery Truck,51.42
Muhammed Yedwab,High,Office Supplies,Storage & Organization,South,Regular Air,6.72
Ritsa Hightower,Low,Furniture,Chairs & Chairmats,Central,Delivery Truck,23.76
Ritsa Hightower,Low,Office Supplies,Pens & Art Supplies,Central,Express Air,0.83
Ritsa Hightower,Low,Office Supplies,Appliances,Central,Regular Air,3.5
Ritsa Hightower,Low,Office Supplies,Envelopes,Central,Regular Air,8.29
Ritsa Hightower,Low,Office Supplies,Storage & Organization,Central,Regular Air,19.99
Julia Barnett,Low,Furniture,Tables,West,Delivery Truck,45.51
Dan Lawera,High,Office Supplies,Appliances,Central,Regular Air,3.99
Brendan Dodson,Low,Technology,Office Machines,Central,Regular Air,7.11
Ken Lonsdale,Not Specified,Technology,Computer Peripherals,Central,Regular Air,5.89
Harold Engle,High,Office Supplies,Envelopes,Central,Regular Air,1.39
Tracy Poddar,Critical,Furniture,Tables,East,Delivery Truck,27.75
Jay Kimmel,Critical,Furniture,Office Furnishings,East,Express Air,39.61
Lisa DeCherney,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,10.13
Lisa DeCherney,Not Specified,Furniture,Office Furnishings,Central,Regular Air,5.21
Troy Staebel,Critical,Furniture,Office Furnishings,East,Regular Air,57.87
Hunter Glantz,Medium,Office Supplies,Binders and Binder Accessories,Central,Regular Air,8.49
Ken Heidel,Not Specified,Office Supplies,Paper,South,Regular Air,5.67
Ken Heidel,Not Specified,Office Supplies,Storage & Organization,South,Regular Air,7.51
Ken Heidel,Not Specified,Office Supplies,Appliances,Central,Regular Air,5.13
Yoseph Carroll,Critical,Office Supplies,Paper,West,Regular Air,5.35
Michael Granlund,Medium,Technology,Computer Peripherals,Central,Regular Air,7.18
Michael Granlund,Medium,Office Supplies,Storage & Organization,Central,Regular Air,8.6
Cathy Prescott,Critical,Office Supplies,Paper,West,Regular Air,1.71
Ed Braxton,Not Specified,Office Supplies,Storage & Organization,West,Regular Air,6.5
Sylvia Foulston,Critical,Technology,Office Machines,Central,Regular Air,13.99
Joel Eaton,Medium,Office Supplies,Binders and Binder Accessories,South,Express Air,13.18
Joel Eaton,Medium,Office Supplies,Paper,South,Regular Air,0.8
Dennis Kane,Critical,Office Supplies,Binders and Binder Accessories,East,Regular Air,11.51
Dennis Kane,Critical,Furniture,Chairs & Chairmats,East,Delivery Truck,69.55
Anthony Rawles,Medium,Technology,Computer Peripherals,West,Regular Air,4
Lindsay Castell,Not Specified,Technology,Computer Peripherals,West,Regular Air,14.52
Thais Sissman,Low,Furniture,Bookcases,South,Delivery Truck,54.74
Thais Sissman,Low,Office Supplies,Storage & Organization,South,Express Air,4.53
Bill Donatelli,Medium,Office Supplies,Binders and Binder Accessories,Central,Regular Air,19.99
Bill Donatelli,Medium,Technology,Computer Peripherals,Central,Regular Air,4.07
Bill Donatelli,Medium,Office Supplies,Paper,Central,Regular Air,5.15
Steve Nguyen,Medium,Furniture,Bookcases,East,Delivery Truck,32.18
Chuck Clark,Critical,Technology,Computer Peripherals,West,Regular Air,1.99
Chuck Clark,Critical,Technology,Telephones and Communication,West,Regular Air,0.99
Tom Zandusky,Critical,Office Supplies,Binders and Binder Accessories,South,Regular Air,9.07
Tom Zandusky,Critical,Furniture,Bookcases,South,Delivery Truck,57.38
Tom Zandusky,Critical,Office Supplies,Storage & Organization,South,Regular Air,9.71
Eugene Barchas,Critical,Furniture,Chairs & Chairmats,Central,Delivery Truck,28.16
Dave Kipp,High,Furniture,Bookcases,West,Delivery Truck,57.38
Dave Kipp,High,Office Supplies,Appliances,West,Regular Air,7.2
Michael Stewart,Medium,Technology,Telephones and Communication,East,Regular Air,5.99
Vivek Grady,Low,Technology,Office Machines,East,Delivery Truck,33.6
Vivek Grady,Low,Office Supplies,Paper,East,Regular Air,5.11
Jim Radford,Low,Furniture,Office Furnishings,Central,Regular Air,5.33
George Ashbrook,Low,Technology,Telephones and Communication,Central,Regular Air,5.26
Patrick O'Brill,Not Specified,Office Supplies,Paper,Central,Regular Air,1.97
Dave Poirier,Low,Office Supplies,Pens & Art Supplies,East,Regular Air,3.97
Dave Poirier,Low,Office Supplies,Binders and Binder Accessories,West,Regular Air,19.99
Steven Roelle,High,Technology,Telephones and Communication,West,Express Air,5.99
Justin Ellison,Medium,Office Supplies,Binders and Binder Accessories,South,Express Air,1.49
Julia Barnett,Low,Office Supplies,Appliances,West,Regular Air,13.99
Julia Barnett,Low,Office Supplies,Labels,West,Express Air,0.5
Richard Eichhorn,Medium,Office Supplies,Binders and Binder Accessories,South,Regular Air,6.27
Richard Eichhorn,Medium,Office Supplies,Binders and Binder Accessories,South,Regular Air,10.29
Richard Eichhorn,Medium,Furniture,Office Furnishings,South,Express Air,2.85
Annie Thurman,Low,Office Supplies,Paper,West,Regular Air,4.86
Annie Thurman,Low,Office Supplies,Paper,West,Regular Air,5.86
Annie Thurman,Low,Office Supplies,Storage & Organization,West,Regular Air,7.07
Neil Knudson,Critical,Office Supplies,Binders and Binder Accessories,South,Express Air,1.49
Neil Knudson,Critical,Technology,Computer Peripherals,South,Regular Air,7.12
Ann Blume,Low,Office Supplies,Paper,East,Regular Air,1.97
Jennifer Jackson,High,Furniture,Office Furnishings,South,Express Air,7.96
Carlos Soltero,Low,Technology,Copiers and Fax,Central,Regular Air,24.49
Carlos Soltero,Low,Office Supplies,Storage & Organization,Central,Delivery Truck,53.03
Dave Kipp,Critical,Furniture,Bookcases,West,Delivery Truck,36.61
Alejandro Ballentine,High,Furniture,Office Furnishings,West,Regular Air,13.99
Yana Sorensen,Low,Office Supplies,Pens & Art Supplies,West,Express Air,0.98
John Castell,Critical,Office Supplies,Paper,Central,Regular Air,13.88
Sung Shariari,Critical,Office Supplies,Pens & Art Supplies,South,Regular Air,8.99
Sung Shariari,Critical,Office Supplies,"Scissors, Rulers and Trimmers",South,Regular Air,3.14
Henry MacAllister,Low,Furniture,Office Furnishings,Central,Regular Air,6.22
Mark Cousins,High,Technology,Telephones and Communication,Central,Regular Air,0.99
Kelly Lampkin,Critical,Office Supplies,Appliances,Central,Express Air,4.62
Carlos Soltero,Critical,Office Supplies,Labels,Central,Regular Air,19.99
Carlos Soltero,Critical,Office Supplies,Pens & Art Supplies,Central,Regular Air,1.57
Greg Guthrie,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,1.49
Greg Guthrie,Low,Furniture,Office Furnishings,Central,Regular Air,6.6
Greg Guthrie,Low,Office Supplies,Paper,Central,Regular Air,7.86
Greg Guthrie,Low,Office Supplies,Pens & Art Supplies,Central,Regular Air,3.97
Patrick Jones,Not Specified,Office Supplies,Storage & Organization,South,Regular Air,4.81
Philip Fox,Medium,Office Supplies,Labels,South,Regular Air,0.5
Philip Fox,Medium,Office Supplies,Rubber Bands,South,Regular Air,0.75
Philip Fox,Medium,Office Supplies,Storage & Organization,South,Express Air,8.34
Sonia Sunley,Not Specified,Office Supplies,Envelopes,Central,Regular Air,14.72
Dave Hallsten,Medium,Office Supplies,Labels,Central,Regular Air,0.99
Dave Hallsten,Medium,Technology,Computer Peripherals,East,Regular Air,1.99
Thais Sissman,Not Specified,Technology,Computer Peripherals,South,Express Air,4
Muhammed Lee,Critical,Office Supplies,Pens & Art Supplies,East,Regular Air,0.7
Muhammed Lee,Critical,Office Supplies,Paper,East,Regular Air,1.22
Laurel Beltran,Not Specified,Technology,Telephones and Communication,South,Regular Air,8.99
Michael Oakman,Not Specified,Office Supplies,"Scissors, Rulers and Trimmers",South,Regular Air,4.68
Edward Becker,Not Specified,Office Supplies,Labels,Central,Regular Air,0.5
Edward Becker,Not Specified,Office Supplies,Paper,Central,Express Air,7.91
Laurel Elliston,High,Furniture,Office Furnishings,South,Regular Air,4.98
Laurel Elliston,High,Technology,Office Machines,South,Delivery Truck,26.53
Daniel Byrd,Not Specified,Technology,Computer Peripherals,Central,Regular Air,6.5
Daniel Byrd,Not Specified,Furniture,Bookcases,West,Delivery Truck,56.7
Sue Ann Reed,Critical,Technology,Telephones and Communication,South,Regular Air,5
Jim Radford,Critical,Furniture,Chairs & Chairmats,Central,Delivery Truck,50
Jim Radford,Critical,Office Supplies,Paper,Central,Regular Air,1.22
Grant Thornton,High,Office Supplies,Appliances,West,Regular Air,4.5
Doug Jacobs,Medium,Office Supplies,Storage & Organization,East,Regular Air,9.71
Guy Armstrong,Not Specified,Office Supplies,Envelopes,Central,Regular Air,1.39
Guy Armstrong,Not Specified,Office Supplies,Pens & Art Supplies,Central,Express Air,3.97
Shirley Jackson,Medium,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.01
Shirley Jackson,Medium,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.41
Georgia Rosenberg,High,Office Supplies,Storage & Organization,South,Regular Air,19.99
Fred McMath,Critical,Office Supplies,Paper,East,Regular Air,6.18
Stuart Van,Critical,Office Supplies,Paper,East,Regular Air,5.09
Nancy Lomonaco,Medium,Office Supplies,Binders and Binder Accessories,Central,Express Air,7.01
Sarah Brown,Low,Office Supplies,Paper,West,Regular Air,7.37
Raymond Fair,Not Specified,Technology,Computer Peripherals,East,Regular Air,7.18
Ben Ferrer,Not Specified,Office Supplies,Appliances,East,Regular Air,49
Damala Kotsonis,Not Specified,Furniture,Bookcases,East,Delivery Truck,58.72
David Bremer,Not Specified,Office Supplies,Paper,West,Regular Air,4.39
Arthur Wiediger,Medium,Office Supplies,Paper,Central,Regular Air,7.03
Arthur Wiediger,Medium,Office Supplies,Storage & Organization,Central,Regular Air,35
Craig Leslie,Not Specified,Office Supplies,Paper,South,Regular Air,5.08
Joy Smith,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,4.98
Joy Smith,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,12.98
Xylona Price,High,Technology,Computer Peripherals,East,Regular Air,6.5
Xylona Price,High,Technology,Telephones and Communication,East,Regular Air,8.99
Alejandro Savely,Not Specified,Technology,Computer Peripherals,East,Express Air,4
Raymond Book,Not Specified,Technology,Copiers and Fax,West,Regular Air,24.49
Raymond Book,Not Specified,Furniture,Chairs & Chairmats,West,Delivery Truck,28.63
Raymond Book,Not Specified,Furniture,Tables,West,Delivery Truck,29.21
Sam Craven,Medium,Office Supplies,Appliances,South,Delivery Truck,60
Jennifer Ferguson,Low,Furniture,Office Furnishings,East,Regular Air,9.2
Deanra Eno,Medium,Technology,Telephones and Communication,West,Regular Air,4.81
Kelly Williams,Critical,Office Supplies,Binders and Binder Accessories,Central,Regular Air,2.99
Victoria Pisteka,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,1.49
Victoria Pisteka,High,Office Supplies,Paper,West,Regular Air,7.15
Pamela Stobb,Not Specified,Furniture,Chairs & Chairmats,East,Delivery Truck,30
Pamela Stobb,Not Specified,Technology,Computer Peripherals,East,Regular Air,4
Grant Carroll,High,Office Supplies,Storage & Organization,Central,Regular Air,7.46
Grant Carroll,High,Technology,Telephones and Communication,Central,Regular Air,5.03
Roy Phan,Low,Technology,Computer Peripherals,West,Regular Air,7.53
Roy Phan,Low,Office Supplies,Labels,West,Regular Air,0.5
Muhammed Lee,High,Office Supplies,Binders and Binder Accessories,East,Regular Air,19.99
Muhammed Lee,High,Office Supplies,Binders and Binder Accessories,East,Regular Air,2.99
Skye Norling,Not Specified,Office Supplies,Appliances,Central,Regular Air,13.99
Skye Norling,Not Specified,Furniture,Office Furnishings,Central,Regular Air,14.37
Skye Norling,Not Specified,Office Supplies,Paper,Central,Regular Air,7.5
Skye Norling,Not Specified,Office Supplies,"Scissors, Rulers and Trimmers",Central,Regular Air,3.14
Giulietta Dortch,High,Office Supplies,Rubber Bands,West,Express Air,0.8
Bill Donatelli,Not Specified,Technology,Computer Peripherals,Central,Regular Air,2.39
Bill Donatelli,Not Specified,Office Supplies,"Scissors, Rulers and Trimmers",Central,Regular Air,3.37
Doug Bickford,Low,Office Supplies,Paper,Central,Regular Air,8.88
Vivek Gonzalez,Not Specified,Office Supplies,Binders and Binder Accessories,East,Express Air,1.49
Jim Kriz,Medium,Office Supplies,Storage & Organization,East,Regular Air,19.99
Karl Brown,Medium,Technology,Computer Peripherals,East,Regular Air,19.99
Paul Knutson,Low,Office Supplies,"Scissors, Rulers and Trimmers",East,Regular Air,5.3
Rob Dowd,Critical,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.7
Vivian Mathis,Medium,Furniture,Tables,East,Delivery Truck,66.67
Duane Huffman,Not Specified,Office Supplies,Storage & Organization,Central,Regular Air,35
Joni Blumstein,Low,Furniture,Office Furnishings,Central,Regular Air,12.23
Bobby Odegard,Not Specified,Technology,Computer Peripherals,Central,Regular Air,2.83
Bobby Odegard,Not Specified,Technology,Office Machines,Central,Regular Air,6.3
Karen Daniels,Critical,Office Supplies,Paper,East,Regular Air,4.7
Jim Mitchum,Not Specified,Technology,Computer Peripherals,Central,Regular Air,1.99
Pete Armstrong,High,Office Supplies,Paper,Central,Regular Air,0.88
Pamela Coakley,High,Technology,Telephones and Communication,East,Regular Air,4.81
Corey Catlett,Critical,Office Supplies,Labels,East,Regular Air,0.5
Noel Staavos,Not Specified,Office Supplies,Storage & Organization,East,Regular Air,19.99
Noel Staavos,Not Specified,Technology,Computer Peripherals,East,Regular Air,4
Noel Staavos,Not Specified,Office Supplies,Binders and Binder Accessories,East,Express Air,5.68
Erin Ashbrook,High,Technology,Computer Peripherals,Central,Regular Air,19.99
Erin Ashbrook,High,Technology,Telephones and Communication,Central,Regular Air,5.26
Anna Andreadi,Medium,Office Supplies,Paper,Central,Regular Air,6.18
Aleksandra Gannaway,Medium,Office Supplies,Paper,West,Regular Air,2.04
Lena Creighton,Low,Office Supplies,Paper,East,Regular Air,1.71
Theresa Swint,High,Office Supplies,Labels,East,Regular Air,0.5
Theresa Swint,High,Technology,Telephones and Communication,East,Regular Air,4.99
